iter	Passed	Remaining
0	0	540
1	0	451
2	1	364
3	1	352
4	1	330
5	2	327
6	2	327
7	2	324
8	3	323
9	3	318
10	3	313
11	4	315
12	4	309
13	4	309
14	5	311
15	5	314
16	5	317
17	6	317
18	6	319
19	7	334
20	7	335
21	8	335
22	8	333
23	8	327
24	9	325
25	9	324
26	9	318
27	9	317
28	10	316
29	10	315
30	10	315
31	11	314
32	11	312
33	11	312
34	12	314
35	12	316
36	13	315
37	13	314
38	13	314
39	14	312
40	14	312
41	14	312
42	15	312
43	15	312
44	15	311
45	16	311
46	16	311
47	16	310
48	17	310
49	17	311
50	18	310
51	18	311
52	18	309
53	19	309
54	19	308
55	19	307
56	20	310
57	20	310
58	21	309
59	21	308
60	21	305
61	21	305
62	22	305
63	22	305
64	23	305
65	23	305
66	23	306
67	24	309
68	24	309
69	25	307
70	25	307
71	25	307
72	26	306
73	26	306
74	26	305
75	27	304
76	27	303
77	27	302
78	28	302
79	28	302
80	28	301
81	29	300
82	29	299
83	29	299
84	30	299
85	30	299
86	31	299
87	31	299
88	31	299
89	32	299
90	32	298
91	32	298
92	33	297
93	33	295
94	33	295
95	34	294
96	34	294
97	34	293
98	35	293
99	35	293
100	35	292
101	36	292
102	36	292
103	36	292
104	37	291
105	37	291
106	38	291
107	38	291
108	38	290
109	39	290
110	39	289
111	40	293
112	40	292
113	41	292
114	41	291
115	41	291
116	42	291
117	42	290
118	42	289
119	42	288
120	43	287
121	43	287
122	43	285
123	44	285
124	44	284
125	44	284
126	45	284
127	45	284
128	45	283
129	46	282
130	46	282
131	47	283
132	47	283
133	47	282
134	48	283
135	48	282
136	49	282
137	49	282
138	49	282
139	50	281
140	50	281
141	50	281
142	51	281
143	51	280
144	52	280
145	52	280
146	53	282
147	53	282
148	54	282
149	54	282
150	55	282
151	55	282
152	55	282
153	56	282
154	56	281
155	57	281
156	57	281
157	57	281
158	58	281
159	58	281
160	59	280
161	59	280
162	59	280
163	60	280
164	60	280
165	61	280
166	61	279
167	61	279
168	62	279
169	62	278
170	63	278
171	63	278
172	63	278
173	64	277
174	64	277
175	65	277
176	65	277
177	65	276
178	66	276
179	66	276
180	67	276
181	67	275
182	67	275
183	68	275
184	68	274
185	69	274
186	69	273
187	69	272
188	69	272
189	70	271
190	70	271
191	70	270
192	71	270
193	71	269
194	71	269
195	72	269
196	72	268
197	73	268
198	73	268
199	73	268
200	74	267
201	74	267
202	75	267
203	75	267
204	75	267
205	76	266
206	76	266
207	77	266
208	77	266
209	78	266
210	78	266
211	79	266
212	79	266
213	80	266
214	80	266
215	80	265
216	81	265
217	81	264
218	81	264
219	82	263
220	82	262
221	82	262
222	83	262
223	83	262
224	83	261
225	84	261
226	84	260
227	85	260
228	85	260
229	86	260
230	86	259
231	86	259
232	87	259
233	87	259
234	87	258
235	88	258
236	88	257
237	89	257
238	89	257
239	89	257
240	90	256
241	90	256
242	91	256
243	91	256
244	92	255
245	92	255
246	92	255
247	93	255
248	93	254
249	94	254
250	94	254
251	94	253
252	95	253
253	95	253
254	96	252
255	96	252
256	97	252
257	97	252
258	97	252
259	98	251
260	98	251
261	99	251
262	99	250
263	99	250
264	100	250
265	100	250
266	101	249
267	101	249
268	101	249
269	102	248
270	102	248
271	103	248
272	103	247
273	103	247
274	104	247
275	104	246
276	105	246
277	105	246
278	106	246
279	106	245
280	107	246
281	107	245
282	108	245
283	108	245
284	108	244
285	109	244
286	109	243
287	109	243
288	110	243
289	110	243
290	111	242
291	111	242
292	111	241
293	112	241
