        P   T  Al/clay        C
 0.751758 473       10 0.075233
 1.052262 473       10 0.101982
 1.950279 473       10 0.135405
 2.326407 473       10 0.175530
 3.972563 473       10 0.234019
 5.245336 473       10 0.289172
 7.039622 473       10 0.332608
 8.610153 473       10 0.377721
10.328689 473       10 0.406108
12.048349 473       10 0.449545
13.617507 473       10 0.476263
19.818639 473       10 0.571433
26.840166 473       10 0.659894
33.336935 473       10 0.716595
40.056835 473       10 0.763257
46.850738 473       10 0.801556
53.494888 473       10 0.833170
60.213041 473       10 0.856421
66.930570 473       10 0.871311
 0.976387 473       30 0.085261
