model,split,r2,rmse,mae,mape
DecisionTree,train,1.0,0.0,0.0,0.0
DecisionTree,test,0.9896147522648457,0.022789022180673284,0.019167430276858424,8.15614827168336
AdaBoost,train,0.995705849849891,0.012944402969335078,0.00801903119324252,3.7001762938579352
AdaBoost,test,0.9866007891777426,0.02588551863612598,0.020920839032923667,8.399654804322871
GradientBoosting,train,0.9994869908652315,0.00447410282119731,0.0036904276223235304,1.7031874882437852
GradientBoosting,test,0.996676578889838,0.012891692791236583,0.009772123126282038,3.9397005603889332
XGBoost,train,0.996834495209831,0.011113859416670528,0.00821873376918913,3.9411159256292376
XGBoost,test,0.9882012681205842,0.024290414550000375,0.01717068112926919,5.0932478707833715
CatBoost,train,0.9994913634810381,0.004454994585812563,0.0035179676422449624,1.6566089903952945
CatBoost,test,0.9965735135440802,0.013090064014983329,0.010723095725985177,4.304657933720116
